"sku","description","title","price","weight(kg)","inactive","sale_price","product_discount","product_type","quantity"
1262,"Bianca Lorenne - Serafena Duck Egg Comforter","Bianca Lorenne - Serafena Duck Egg Comforter",53,4,1,"NULL","NULL","Physical",10
1263,"Bianca Lorenne - Serafena Carmine Red Comforter","Bianca Lorenne - Serafena Carmine Red Comforter",53,4,1,"NULL","NULL","Physical",10
1264,"Bianca Lorenne - Estelle Comforter","Bianca Lorenne - Estelle Comforter",44,4,1,"NULL","NULL","Physical",10
1265,"Bianca Lorenne Casella Comforter","Bianca Lorenne Casella Comforter",40,4,1,"NULL","NULL","Physical",10
1266,"Bianca Lorenne - Borja Carmine Red Velvet Comforter","Bianca Lorenne - Borja Carmine Red Velvet Comforter",84,4,1,"NULL","NULL","Physical",10
1267,"Bianca Lorenne - Borja Duck Egg Euro Case","Bianca Lorenne - Borja Duck Egg Euro Case",80,4,1,"NULL","NULL","Physical",10
1268,"Bianca Lorenne - Isadora Dusky Teal Eurocase","Bianca Lorenne - Isadora Dusky Teal Eurocase",80,4,1,"NULL","NULL","Physical",10
1269,,,0,0,0,"NULL","NULL","Physical",10
1270,"Bianca Lorenne - Trieste Comforter","Bianca Lorenne - Trieste Comforter",84,4,1,"NULL","NULL","Physical",10
1271,"Bianca Lorenne - Peony Slate Eurocase","Bianca Lorenne - Peony Slate Eurocase",73,1,1,"NULL","NULL","Physical",10
1272,"Bianca Lorenne - Peony Pale Blue Comforter","Bianca Lorenne - Peony Pale Blue Comforter",73,4,1,"NULL","NULL","Physical",10
1273,,,0,0,0,"NULL","NULL","Physical",10
1274,"Machine quilted bedspread depicting elegant peacocks amongst foliage and blooms","Bianca Lorenne Pavone Bedspread Set - King Single -  ON SALE",579,5,0,"NULL","NULL","Physical",10
1275,"Bianca Lorenne - Florin Embroidered Peacock Cushion","Bianca Lorenne - Florin Embroidered Peacock Cushion",130,2,0,"NULL","NULL","Physical",10
1279,"Novadown Tencel Pillow Protector","Novadown Tencel Pillow Protector",20,1,1,"NULL","NULL","Physical",10
1280,"Bianca Lorenne - Limardi Bone Bedspread","Bianca Lorenne - Limardi Bone Bedspread",80,5,0,"NULL","NULL","Physical",10
1281," Percorsi Charcoal Bedspread Set is pin tucked, hand embroidered with slate ribbons and finished with hand quilting","Bianca Lorenne Percorsi Charcoal Bedspread Set - ON SALE",579,4,0,"NULL","NULL","Physical",10
1282,"Sheridan- Gallice Quilt/Duvet Cover Set","Sheridan- Gallice Quilt/Duvet Cover Set",49.95,3,1,"NULL","NULL","Physical",10
1283,"Sheridan - Atwood Duvet Cover Set","Sheridan - Atwood Duvet Cover Set",59.95,3,1,"NULL","NULL","Physical",10
1284,"Sheridan - Maillard Tailored Duvet Cover Set","Sheridan - Maillard Tailored Duvet Cover Set",89.95,3,1,"NULL","NULL","Physical",10
1285,,,0,0,0,"NULL","NULL","Physical",10
1286,"Sheridan - Elkins 100% Luxury Egyptian Cotton Throws","Sheridan - Elkins 100% Luxury Egyptian Cotton Throws",279.95,3,1,"NULL",5,"Physical",10
1287,"Sheridan - Tarrant 100% Cotton Throw","Sheridan - Tarrant 100% Cotton Throw",159.95,5,1,"NULL","NULL","Physical",10
1289,"Davinci - Talitha Ruby Duvet Cover","Davinci - Talitha Ruby Duvet Cover",44,3,1,"NULL","NULL","Physical",10
1290,"Baksana - Eden Duvet Set","Baksana - Eden Duvet Set",37,3,1,"NULL","NULL","Physical",10
1291,"Bianca Lorenne - Woodland Petal Comforter","Bianca Lorenne - Woodland Petal Comforter",46,4,1,"NULL","NULL","Physical",10
1294,"Bianca Lorenne - Plumiere Aqua Comforter","Bianca Lorenne - Plumiere Aqua Comforter",52,4,1,"NULL","NULL","Physical",10
1295,"Bianca Lorenne - Plumiere Green Comforter","Bianca Lorenne - Plumiere Green Comforter",60,4,1,"NULL","NULL","Physical",10
1296,,,0,0,0,"NULL","NULL","Physical",10
1297,"Bianca Lorenne - Ambiente Green Comforter","Bianca Lorenne - Ambiente Green Comforter",94,3.5,1,"NULL","NULL","Physical",10
1298,"Bianca Lorenne - Ambiente Charcoal Comforter","Bianca Lorenne - Ambiente Charcoal Comforter",136,3.5,1,"NULL","NULL","Physical",10
1299,"Bianca Lorenne - Varaville Comforter","Bianca Lorenne - Varaville Comforter",46,3.5,1,"NULL","NULL","Physical",10
1300,"Bianca Lorenne Chantilly Bedspread / Pillowcases Sold Separately","Bianca Lorenne Chantilly Bedspread / Pillowcases Sold Separately",84,4,1,"NULL","NULL","Physical",10
1301,"Bianca Lorenne - Antoinette Comforter","Bianca Lorenne - Antoinette Comforter",46,4,1,"NULL","NULL","Physical",10
